Firefox run on 17/08/2014 at 20:54:16,
Test run 0 total time,13.90998331
Test run 1 total time,8.479489101
Test run 2 total time,9.354660308
Total time,31.75087991
,
Chrome run on 17/08/2014 at 20:54:57,
Test run 0 total time,4.746130358
Test run 1 total time,3.321996186
Test run 2 total time,3.282072575
Total time,11.35745746
Chrome run on 17/08/2014 at 20:58:55
Test run 0 total time,5.959881378612814
Test run 1 total time,3.285296978711206
Test run 2 total time,3.34282451428488
Total time,12.595166716827233,Average,4.198388905609078

